area,baths,beds,City,Zipcode,Price,Age
3501.0,5.0,4.0,Seattle,98102,2772500,59
4240.0,4.0,4.0,Seattle,98102,1305000,51
383.0,1.0,,Seattle,98102,295000,34
1125.0,1.0,2.0,Seattle,98102,1325000,33
1161.0,2.0,2.0,Seattle,98102,690000,47
1606.0,3.0,2.0,Seattle,98102,1200000,53
2410.0,3.0,4.0,Seattle,98102,1261500,49
1702.0,3.0,2.0,Seattle,98102,775000,44
1620.0,3.0,3.0,Seattle,98102,1030000,31
1620.0,3.0,3.0,Seattle,98102,1030000,59
890.0,1.0,2.0,Seattle,98102,1450000,41
2132.0,3.0,3.0,Seattle,98102,3100000,31
1751.0,3.0,3.0,Seattle,98102,1075000,31
1660.0,3.0,3.0,Seattle,98102,1000000,40
2320.0,3.0,3.0,Seattle,98103,1371500,30
2671.0,3.0,3.0,Seattle,98103,1299000,52
1076.0,2.0,3.0,Seattle,98103,1095000,60
2780.0,1.0,3.0,Seattle,98103,1400000,50
1430.0,2.0,3.0,Seattle,98103,1165000,39
1970.0,,,Seattle,98103,800000,40
315.0,1.0,,Seattle,98103,272500,52
3568.0,,,Seattle,98103,1200000,50
1200.0,1.0,1.0,Seattle,98103,775000,39
4080.0,4.0,4.0,Seattle,98103,1600000,33
1812.0,4.0,5.0,Seattle,98103,1200000,34
1130.0,2.0,3.0,Seattle,98103,495000,49
2660.0,4.0,6.0,Seattle,98103,1345000,49
2350.0,3.0,4.0,Seattle,98103,1600000,35
2504.0,2.0,3.0,Seattle,98103,1232800,48
1260.0,2.0,3.0,Seattle,98103,850000,33
0.0,,,Seattle,98103,913000,43
887.0,2.0,2.0,Seattle,98103,640000,57
2176.0,4.0,4.0,Seattle,98103,1192500,42
1270.0,3.0,3.0,Seattle,98103,525000,59
572.0,1.0,1.0,Seattle,98103,270000,46
17414.0,,,Seattle,98103,8900000,37
1180.0,1.75,2.0,Seattle,98103,650000,46
1384.0,2.0,3.0,Seattle,98103,910000,33
1620.0,3.0,3.0,Seattle,98103,1200000,44
1194.0,2.0,2.0,Seattle,98103,650000,49
1130.0,2.0,3.0,Seattle,98103,495000,43
8350.0,,,Seattle,98103,3650000,39
3540.0,4.0,6.0,Seattle,98103,1320000,50
1400.0,2.75,3.0,Seattle,98103,1080000,43
474.0,1.0,1.0,Seattle,98103,625000,40
